Scenario,Horizon,Season,Model,R(%),MSE,MAE,RMSE
Clean,1h,Spring,CNN,98.99,22.134,3.428,4.705
Clean,1h,Summer,CNN,98.99,67.871,4.901,8.238
Clean,1h,Autumn,CNN,98.73,23.326,3.593,4.83
Clean,1h,Winter,CNN,99.03,34.704,4.406,5.891
FDIA_decrease_5pct,1h,Spring,CNN,98.86,24.771,3.669,4.977
FDIA_decrease_5pct,1h,Summer,CNN,98.92,72.717,5.438,8.527
FDIA_decrease_5pct,1h,Autumn,CNN,98.55,26.597,3.833,5.157
FDIA_decrease_5pct,1h,Winter,CNN,99.02,34.915,4.429,5.909
FDIA_increase_5pct,1h,Spring,CNN,98.9,23.909,3.585,4.89
FDIA_increase_5pct,1h,Summer,CNN,98.93,71.774,4.969,8.472
FDIA_increase_5pct,1h,Autumn,CNN,98.61,25.512,3.83,5.051
FDIA_increase_5pct,1h,Winter,CNN,98.93,38.252,4.658,6.185
Clean,1h,Spring,LSTM,78.09,427.672,15.335,20.68
Clean,1h,Summer,LSTM,76.26,1411.689,31.549,37.572
Clean,1h,Autumn,LSTM,73.4,424.798,16.283,20.611
Clean,1h,Winter,LSTM,60.13,1147.85,27.563,33.88
FDIA_decrease_5pct,1h,Spring,LSTM,77.87,431.531,15.438,20.773
FDIA_decrease_5pct,1h,Summer,LSTM,75.76,1437.403,31.896,37.913
FDIA_decrease_5pct,1h,Autumn,LSTM,73.0,430.135,16.399,20.74
FDIA_decrease_5pct,1h,Winter,LSTM,60.23,1145.66,27.54,33.848
FDIA_increase_5pct,1h,Spring,LSTM,78.38,422.811,15.201,20.562
FDIA_increase_5pct,1h,Summer,LSTM,76.8,1383.981,31.161,37.202
FDIA_increase_5pct,1h,Autumn,LSTM,73.88,418.316,16.133,20.453
FDIA_increase_5pct,1h,Winter,LSTM,60.06,1149.436,27.576,33.903
Clean,1h,Spring,AE_CNN,98.96,22.584,3.365,4.752
Clean,1h,Summer,AE_CNN,99.01,66.431,4.726,8.151
Clean,1h,Autumn,AE_CNN,98.67,24.324,3.63,4.932
Clean,1h,Winter,AE_CNN,98.96,37.236,4.352,6.102
FDIA_decrease_5pct,1h,Spring,AE_CNN,98.79,26.433,3.698,5.141
FDIA_decrease_5pct,1h,Summer,AE_CNN,99.01,66.543,4.871,8.157
FDIA_decrease_5pct,1h,Autumn,AE_CNN,98.52,27.028,3.837,5.199
FDIA_decrease_5pct,1h,Winter,AE_CNN,98.89,39.682,4.441,6.299
FDIA_increase_5pct,1h,Spring,AE_CNN,98.92,23.453,3.444,4.843
FDIA_increase_5pct,1h,Summer,AE_CNN,98.95,70.661,4.871,8.406
FDIA_increase_5pct,1h,Autumn,AE_CNN,98.58,25.963,3.753,5.095
FDIA_increase_5pct,1h,Winter,AE_CNN,98.94,38.076,4.481,6.171
Clean,1h,Spring,AE_CLSTM,96.71,70.965,6.317,8.424
Clean,1h,Summer,AE_CLSTM,97.25,182.801,8.962,13.52
Clean,1h,Autumn,AE_CLSTM,96.44,64.461,5.901,8.029
Clean,1h,Winter,AE_CLSTM,97.06,104.204,7.962,10.208
FDIA_decrease_5pct,1h,Spring,AE_CLSTM,96.35,78.488,6.76,8.859
FDIA_decrease_5pct,1h,Summer,AE_CLSTM,97.31,179.006,9.124,13.379
FDIA_decrease_5pct,1h,Autumn,AE_CLSTM,96.03,71.672,6.371,8.466
FDIA_decrease_5pct,1h,Winter,AE_CLSTM,96.94,108.424,8.133,10.413
FDIA_increase_5pct,1h,Spring,AE_CLSTM,96.67,71.748,6.296,8.47
FDIA_increase_5pct,1h,Summer,AE_CLSTM,96.99,200.328,9.395,14.154
FDIA_increase_5pct,1h,Autumn,AE_CLSTM,96.24,68.01,5.982,8.247
FDIA_increase_5pct,1h,Winter,AE_CLSTM,97.08,103.54,7.941,10.175
Clean,1w,Spring,CNN,63.85,766.429,21.88,27.684
Clean,1w,Summer,CNN,76.22,1406.587,26.783,37.504
Clean,1w,Autumn,CNN,27.31,732.503,20.772,27.065
Clean,1w,Winter,CNN,41.31,1522.416,30.434,39.018
FDIA_decrease_5pct,1w,Spring,CNN,63.99,764.155,21.887,27.643
FDIA_decrease_5pct,1w,Summer,CNN,75.68,1434.187,27.317,37.871
FDIA_decrease_5pct,1w,Autumn,CNN,32.94,705.634,20.514,26.564
FDIA_decrease_5pct,1w,Winter,CNN,40.93,1528.05,30.454,39.09
FDIA_increase_5pct,1w,Spring,CNN,63.56,771.269,21.916,27.772
FDIA_increase_5pct,1w,Summer,CNN,76.59,1387.922,26.354,37.255
FDIA_increase_5pct,1w,Autumn,CNN,19.22,762.306,21.108,27.61
FDIA_increase_5pct,1w,Winter,CNN,41.56,1518.602,30.446,38.969
Clean,1w,Spring,LSTM,62.17,793.814,21.458,28.175
Clean,1w,Summer,LSTM,46.42,2633.564,41.504,51.318
Clean,1w,Autumn,LSTM,63.72,470.179,16.615,21.684
Clean,1w,Winter,LSTM,0.0,2031.065,34.501,45.067
FDIA_decrease_5pct,1w,Spring,LSTM,61.76,800.434,21.523,28.292
FDIA_decrease_5pct,1w,Summer,LSTM,44.6,2689.269,42.025,51.858
FDIA_decrease_5pct,1w,Autumn,LSTM,63.69,470.479,16.62,21.691
FDIA_decrease_5pct,1w,Winter,LSTM,0.0,2030.332,34.491,45.059
FDIA_increase_5pct,1w,Spring,LSTM,62.62,786.604,21.4,28.046
FDIA_increase_5pct,1w,Summer,LSTM,48.3,2573.743,40.935,50.732
FDIA_increase_5pct,1w,Autumn,LSTM,63.74,469.991,16.616,21.679
FDIA_increase_5pct,1w,Winter,LSTM,0.0,2031.067,34.507,45.067
Clean,1w,Spring,AE_CNN,61.59,803.184,22.64,28.34
Clean,1w,Summer,AE_CNN,75.58,1439.571,26.88,37.942
Clean,1w,Autumn,AE_CNN,39.52,667.881,20.038,25.843
Clean,1w,Winter,AE_CNN,39.12,1554.76,31.05,39.43
FDIA_decrease_5pct,1w,Spring,AE_CNN,61.4,806.129,22.71,28.392
FDIA_decrease_5pct,1w,Summer,AE_CNN,75.4,1448.637,27.021,38.061
FDIA_decrease_5pct,1w,Autumn,AE_CNN,40.63,660.866,20.029,25.707
FDIA_decrease_5pct,1w,Winter,AE_CNN,38.55,1562.87,31.076,39.533
FDIA_increase_5pct,1w,Spring,AE_CNN,61.69,801.528,22.592,28.311
FDIA_increase_5pct,1w,Summer,AE_CNN,75.73,1431.799,26.758,37.839
FDIA_increase_5pct,1w,Autumn,AE_CNN,38.33,675.215,20.063,25.985
FDIA_increase_5pct,1w,Winter,AE_CNN,39.18,1553.809,31.106,39.418
Clean,1w,Spring,AE_CLSTM,62.31,791.63,23.057,28.136
Clean,1w,Summer,AE_CLSTM,73.62,1537.409,28.978,39.21
Clean,1w,Autumn,AE_CLSTM,38.23,675.826,20.56,25.997
Clean,1w,Winter,AE_CLSTM,25.26,1718.541,32.002,41.455
FDIA_decrease_5pct,1w,Spring,AE_CLSTM,62.08,795.32,23.144,28.201
FDIA_decrease_5pct,1w,Summer,AE_CLSTM,72.89,1573.508,29.479,39.667
FDIA_decrease_5pct,1w,Autumn,AE_CLSTM,40.74,660.142,20.427,25.693
FDIA_decrease_5pct,1w,Winter,AE_CLSTM,24.26,1727.638,32.029,41.565
FDIA_increase_5pct,1w,Spring,AE_CLSTM,62.33,791.356,23.031,28.131
FDIA_increase_5pct,1w,Summer,AE_CLSTM,74.23,1507.293,28.532,38.824
FDIA_increase_5pct,1w,Autumn,AE_CLSTM,35.43,692.192,20.72,26.31
FDIA_increase_5pct,1w,Winter,AE_CLSTM,26.16,1710.005,31.978,41.352
